EmpLastName	EmpFirstName	BirthDate	ServiceStartDate	EmpID
Abbott	Zoe	4/10/1969	6/25/2020	E55049
Adams	Amaya	12/30/1968	5/29/2020	E55042
Ashley	Keely	11/12/1977	6/26/2021	E55086
Avery	Laurel	10/16/1980	3/8/2020	E55033
Avery	Orson	5/10/1967	9/25/2020	E55059
Avery	Tate	10/7/1978	9/17/2020	E55057
Barnes	Shafira	4/30/1983	9/5/2020	E55055
Bauer	Dolan	6/26/1960	1/5/2018	E55001
Bird	Colette	10/22/1984	8/23/2021	E55088
Bishop	Alexander	2/3/1980	2/24/2018	E55004
Blackburn	Dana	12/30/1964	1/23/2021	E55073
Blair	Raymond	5/16/1963	5/20/2020	E55040
Blankenship	Jamal	11/23/1968	2/21/2021	E55075
Brooks	Patience	10/23/1980	4/20/2020	E55037
Burke	Malik	2/15/1983	3/17/2020	E55034
Burks	Shaine	4/29/1961	1/25/2020	E55029
Carpenter	Matthew	8/26/1983	9/6/2020	E55056
Carrillo	Clinton	6/26/1968	1/15/2021	E55069
Chandler	Justina	1/21/1970	2/21/2020	E55030
Christian	Ulla	10/16/1987	3/4/2020	E55032
Church	Jamal	9/11/1992	4/21/2020	E55038
Clark	Halla	11/13/1973	3/22/2021	E55079
Clay	Ella	7/8/1971	12/16/2019	E55028
Cline	Callum	11/6/1983	9/13/2021	E55090
Conner	Karyn	3/1/1975	5/12/2018	E55013
Conner	Matthew	6/2/1992	2/25/2018	E55005
Copeland	Halla	1/28/1971	8/9/2019	E55021
Cortez	Zelenia	10/5/1969	12/30/2021	E55100
Crosby	Cole	6/9/1989	4/3/2018	E55008
Decker	Martena	11/20/1966	6/21/2021	E55085
Duke	Gretchen	4/27/1964	5/30/2020	E55043
Figueroa	Aurora	4/15/1992	7/13/2019	E55017
Finley	Channing	2/9/1981	1/21/2021	E55072
Fisher	Bernard	12/8/1967	9/3/2019	E55022
Fisher	Jin	2/17/1999	1/13/2021	E55068
Garza	Marshall	8/6/1966	4/16/2020	E55036
Glenn	Scarlet	11/27/1968	10/3/2019	E55025
Good	Nomlanga	8/25/1994	3/13/2021	E55077
Graves	Haviva	11/11/1998	6/9/2020	E55045
Gross	Kennan	6/6/1982	3/23/2018	E55007
Hamilton	Sheila	10/29/1984	4/24/2021	E55081
Hardy	Ryder	10/23/1990	1/10/2018	E55002
Harrington	Odysseus	4/30/1971	10/23/2021	E55093
Heath	Buffy	5/18/1973	7/18/2019	E55018
Henderson	Shannon	11/27/1969	10/3/2021	E55092
Hester	Isaac	5/2/1964	1/5/2021	E55065
Hodge	Reed	12/29/1986	9/30/2021	E55091
Holmes	Mufutau	4/26/1994	4/26/2021	E55082
Hooper	Anika	12/11/1977	7/7/2019	E55016
House	Herrod	9/23/1970	11/26/2020	E55062
Howard	Sonya	8/14/1987	4/12/2018	E55011
Hurley	Malik	8/28/1965	4/9/2018	E55009
Knapp	Aphrodite	3/9/1996	11/21/2019	E55026
Knowles	Nicholas	12/26/1974	8/15/2020	E55052
Lambert	Shaine	2/28/1998	7/26/2020	E55050
Larsen	Yoshio	3/5/1985	8/23/2020	E55053
Leonard	Nicholas	10/3/1994	3/2/2021	E55076
Levy	Helen	10/7/1966	6/4/2020	E55044
Lopez	Addison	8/26/1963	9/23/2020	E55058
Lowe	Mary	12/22/1960	4/10/2018	E55010
Mathis	Jessamine	1/26/1998	9/28/2019	E55024
May	Brenden	7/30/1985	4/26/2020	E55039
Mayo	Charissa	4/16/1996	2/26/2018	E55006
Mcbride	Anjolie	1/29/2000	11/24/2021	E55095
Mccall	Damian	1/6/1983	12/28/2021	E55099
Mcfarland	Tarik	1/3/1984	5/6/2018	E55012
Mckenzie	Kaden	6/21/1995	1/1/2021	E55064
Meadows	Raymond	8/4/1995	2/25/2020	E55031
Mendez	Fleur	1/5/1983	12/1/2018	E55015
Mills	Noelle	9/30/1990	8/4/2020	E55051
Moss	Hadley	1/6/1991	12/21/2021	E55098
Murray	Melinda	11/28/1963	1/15/2021	E55070
Nguyen	Wyoming	10/31/1963	11/30/2021	E55097
Nieves	Kevyn	2/17/1980	7/23/2019	E55020
Peck	Hannah	12/7/1987	1/12/2021	E55067
Poole	Joshua	5/6/1985	6/1/2021	E55084
Pratt	Hyatt	10/10/1968	6/20/2020	E55047
Prince	Zahir	3/19/1988	5/22/2020	E55041
Ramos	Holmes	4/24/1960	2/7/2021	E55074
Ray	Gil	9/19/1969	2/12/2018	E55003
Reyes	Macey	5/31/1990	4/15/2021	E55080
Robbins	Darrel	7/21/1991	12/17/2020	E55063
Rodriquez	Bianca	5/31/1966	9/20/2019	E55023
Ross	Sonya	10/2/1986	7/2/2021	E55087
Rowe	Eric	1/23/1976	1/7/2021	E55066
Rowland	Byron	8/6/1971	5/13/2018	E55014
Roy	Xerxes	1/23/1966	11/8/2021	E55094
Ryan	Jelani	12/11/1963	8/25/2020	E55054
Salas	Azalia	2/11/1967	6/16/2020	E55046
Skinner	Lucian	1/22/1984	5/3/2021	E55083
Stafford	Quyn	9/23/1990	11/29/2021	E55096
Sullivan	Xander	5/14/1986	1/16/2021	E55071
Sutton	Jocelyn	10/2/1988	6/24/2020	E55048
Valdez	Britanni	8/10/1996	7/18/2019	E55019
Valentine	Devin	9/11/1964	12/7/2019	E55027
Vega	Trevor	1/11/1991	10/6/2020	E55061
Weiss	Fredericka	6/30/1960	9/5/2021	E55089
Welch	August	8/11/1988	9/29/2020	E55060
Witt	Zorita	9/7/1985	3/22/2021	E55078
Woodward	Kay	7/15/1992	3/25/2020	E55035
